appid,game,country_code,country,collected_at,currency,price_local,is_free,on_sale,discount_pct,available,exchange_rate,price_usd,ppp_factor,price_ppp,us_price_usd,price_ratio
1091500,Cyberpunk 2077,us,United States,2026-05-05T19:44:03.368288,USD,59.99,False,False,0,True,1.0,59.99,1.0,59.99,59.99,1.0
1091500,Cyberpunk 2077,cn,China,2026-05-05T19:44:05.302919,CNY,298.0,False,False,0,True,7.28,40.93,3.45,86.38,59.99,0.682
1091500,Cyberpunk 2077,de,Germany,2026-05-05T19:44:09.306098,EUR,59.99,False,False,0,True,0.92,65.21,0.77,77.91,59.99,1.087
1091500,Cyberpunk 2077,gb,United Kingdom,2026-05-05T19:44:11.052774,GBP,49.99,False,False,0,True,0.79,63.28,0.69,72.45,59.99,1.055
1091500,Cyberpunk 2077,jp,Japan,2026-05-05T19:44:12.801743,JPY,8778.0,False,False,0,True,145.2,60.45,93.0,94.39,59.99,1.008
1091500,Cyberpunk 2077,br,Brazil,2026-05-05T19:44:14.554925,BRL,199.9,False,False,0,True,5.05,39.58,2.32,86.16,59.99,0.66
1091500,Cyberpunk 2077,au,Australia,2026-05-05T19:44:16.262762,AUD,89.95,False,False,0,True,1.53,58.79,1.46,61.61,59.99,0.98
1091500,Cyberpunk 2077,tr,Turkey,2026-05-05T19:44:17.979621,USD,44.99,False,False,0,True,1.0,44.99,8.97,5.02,59.99,0.75
1091500,Cyberpunk 2077,in,India,2026-05-05T19:44:19.717321,INR,2999.0,False,False,0,True,83.4,35.96,22.5,133.29,59.99,0.599
1174180,Red Dead Redemption 2,us,United States,2026-05-05T19:44:21.397786,USD,59.99,False,False,0,True,1.0,59.99,1.0,59.99,59.99,1.0
1174180,Red Dead Redemption 2,cn,China,2026-05-05T19:44:23.491354,CNY,279.0,False,False,0,True,7.28,38.32,3.45,80.87,59.99,0.639
1174180,Red Dead Redemption 2,de,Germany,2026-05-05T19:44:27.534632,EUR,59.99,False,False,0,True,0.92,65.21,0.77,77.91,59.99,1.087
